sigma,sigma_blur,global_auroc,global_auroc_wo_sid,ADM AUROC,CollabDiff AUROC,SID AUROC
0.018,0.5,0.536388,0.785827,0.724228,0.862956,0.282656
0.018,0.55,0.534151,0.767829,0.754512,0.822448,0.294951
0.018,0.6,0.547651,0.760664,0.786192,0.780664,0.326638
0.018,0.65,0.567669,0.751919,0.81726,0.717756,0.37393
0.018,0.7,0.593883,0.748862,0.843576,0.657772,0.432232
0.018,0.75,0.622942,0.781386,0.861378,0.69218,0.463292
0.018,0.8,0.628672,0.797716,0.861372,0.726476,0.458825
0.018,0.85,0.62566,0.801179,0.85464,0.742832,0.447329
0.018,0.9,0.622989,0.802199,0.851132,0.752472,0.438501
0.018,0.95,0.621884,0.803682,0.849328,0.761004,0.432443
0.018,1.0,0.621256,0.804725,0.847756,0.766588,0.42817
0.02,0.3,0.515085,0.70661,0.496816,0.898358,0.299675
0.02,0.35,0.520694,0.708773,0.488304,0.903612,0.306884
0.02,0.4,0.538698,0.745133,0.524872,0.919508,0.306774
0.02,0.45,0.55137,0.794586,0.644768,0.909024,0.295291
0.02,0.5,0.535668,0.784796,0.72168,0.862156,0.282347
0.02,0.55,0.532418,0.766025,0.749416,0.821772,0.293987
0.02,0.6,0.545064,0.758195,0.779256,0.780196,0.324956
0.02,0.65,0.564835,0.749659,0.811076,0.717488,0.371708
0.02,0.7,0.590964,0.746556,0.83839,0.657932,0.429736
0.02,0.75,0.619284,0.778312,0.856214,0.692016,0.459913
0.02,0.8,0.623226,0.793407,0.85394,0.72626,0.453538
0.02,0.85,0.618405,0.796479,0.846638,0.741596,0.439677
0.02,0.9,0.614505,0.797434,0.842752,0.750296,0.429134
0.02,0.95,0.612599,0.7987,0.840676,0.757928,0.422138
0.02,1.0,0.611212,0.799394,0.83866,0.76303,0.416681
0.022,0.3,0.515085,0.70661,0.496816,0.898358,0.299675
0.022,0.35,0.520685,0.70874,0.488272,0.903612,0.306884
0.022,0.4,0.538559,0.744713,0.524232,0.919508,0.306769
0.022,0.45,0.551041,0.793904,0.64344,0.909056,0.295191
0.022,0.5,0.535176,0.78415,0.719788,0.862384,0.282023
0.022,0.55,0.531548,0.765182,0.746116,0.822404,0.293358
0.022,0.6,0.543677,0.756985,0.774912,0.780788,0.323813
0.022,0.65,0.563228,0.748177,0.806656,0.7178,0.370491
0.022,0.7,0.589303,0.744604,0.834138,0.657844,0.428764
0.022,0.75,0.617035,0.776015,0.851862,0.691816,0.458087
0.022,0.8,0.619584,0.790461,0.848636,0.725928,0.449891
0.022,0.85,0.61318,0.792525,0.840164,0.74032,0.434399
0.022,0.9,0.60805,0.792906,0.83493,0.748508,0.422528
0.022,0.95,0.605446,0.794314,0.833036,0.755672,0.414441
0.022,1.0,0.603388,0.79499,0.829766,0.76119,0.408013
0.024,0.3,0.515085,0.70661,0.496816,0.898358,0.299675
0.024,0.35,0.520677,0.708707,0.488228,0.903612,0.306884
0.024,0.4,0.538542,0.744612,0.524188,0.919508,0.306769
0.024,0.45,0.550952,0.793665,0.643064,0.909068,0.295131
0.024,0.5,0.535016,0.784083,0.71944,0.862484,0.281876
0.024,0.55,0.531101,0.765212,0.745472,0.822684,0.292914
0.024,0.6,0.542811,0.756606,0.772776,0.781152,0.323062
0.024,0.65,0.562135,0.747509,0.804424,0.718176,0.369507
0.024,0.7,0.588073,0.743689,0.832558,0.657832,0.427686
0.024,0.75,0.615548,0.774733,0.850166,0.691632,0.45678
0.024,0.8,0.6172,0.788473,0.845856,0.725288,0.447636
0.024,0.85,0.609686,0.790216,0.836472,0.73954,0.430756
0.024,0.9,0.603622,0.790115,0.830254,0.747028,0.417731
0.024,0.95,0.600361,0.791349,0.827464,0.754068,0.408869
0.024,1.0,0.597767,0.791704,0.82411,0.759166,0.401796
0.026,0.3,0.515085,0.70661,0.496816,0.898358,0.299675
0.026,0.35,0.520672,0.708688,0.488196,0.903612,0.306884
0.026,0.4,0.538501,0.744487,0.524052,0.919508,0.306769
0.026,0.45,0.550772,0.793308,0.642652,0.909068,0.295069
0.026,0.5,0.534687,0.783673,0.719036,0.862272,0.281608
0.026,0.55,0.530504,0.764344,0.743816,0.82244,0.292476
0.026,0.6,0.541975,0.755448,0.77018,0.78092,0.322516
0.026,0.65,0.56135,0.746623,0.802252,0.71798,0.36893
0.026,0.7,0.587654,0.74327,0.83149,0.657828,0.42737
0.026,0.75,0.614881,0.774092,0.849132,0.691632,0.456217
0.026,0.8,0.615609,0.787097,0.843536,0.725388,0.446263
0.026,0.85,0.607059,0.787833,0.832552,0.738896,0.428503
0.026,0.9,0.599942,0.786865,0.824914,0.74584,0.414623
0.026,0.95,0.595858,0.787494,0.820672,0.752684,0.40492
0.026,1.0,0.592792,0.787698,0.81713,0.757598,0.397261
0.028,0.3,0.515085,0.70661,0.496816,0.898358,0.299675
0.028,0.35,0.520674,0.708694,0.488212,0.903612,0.306884
0.028,0.4,0.538477,0.744406,0.523948,0.919508,0.306769
0.028,0.45,0.550722,0.793163,0.642568,0.909076,0.295075
0.028,0.5,0.534587,0.783272,0.71868,0.862108,0.281633
0.028,0.55,0.530245,0.763826,0.743116,0.821912,0.29239
0.028,0.6,0.541605,0.754788,0.769048,0.78058,0.322375
0.028,0.65,0.560882,0.745678,0.800372,0.717668,0.368777
0.028,0.7,0.58706,0.742249,0.829202,0.657836,0.427085
0.028,0.75,0.613982,0.772667,0.846422,0.691632,0.455809
0.028,0.8,0.613984,0.784945,0.839772,0.725164,0.445197
0.028,0.85,0.604716,0.785295,0.828164,0.738604,0.42655
0.028,0.9,0.597002,0.78412,0.81985,0.745352,0.412033
0.028,0.95,0.592368,0.784342,0.815018,0.751708,0.401817
0.028,1.0,0.588977,0.78419,0.810574,0.75663,0.3939
0.03,0.3,0.515085,0.70661,0.496816,0.898358,0.299675
0.03,0.35,0.52067,0.708678,0.48818,0.903612,0.306884
0.03,0.4,0.538451,0.744303,0.523856,0.919508,0.306769
0.03,0.45,0.55071,0.793072,0.642592,0.909068,0.295067
0.03,0.5,0.534442,0.782973,0.71832,0.862116,0.281562
0.03,0.55,0.529936,0.763392,0.742388,0.82184,0.29221
0.03,0.6,0.54108,0.75418,0.7677,0.780508,0.321998
0.03,0.65,0.560368,0.745159,0.79926,0.717588,0.368343
0.03,0.7,0.586799,0.742094,0.828814,0.657836,0.426817
0.03,0.75,0.613614,0.772195,0.845502,0.691632,0.455551
0.03,0.8,0.613353,0.78371,0.837908,0.72482,0.445002
0.03,0.85,0.603644,0.783895,0.826024,0.738192,0.425899
0.03,0.9,0.595518,0.782401,0.816842,0.745136,0.410872
0.03,0.95,0.590556,0.782355,0.81128,0.751436,0.40037
0.03,1.0,0.586971,0.782109,0.806506,0.756286,0.392259
0.032,0.3,0.515085,0.70661,0.496816,0.898358,0.299675
0.032,0.35,0.52067,0.708678,0.48818,0.903612,0.306884
0.032,0.4,0.538436,0.744246,0.523788,0.919508,0.306769
0.032,0.45,0.550678,0.792968,0.642536,0.909076,0.295065
0.032,0.5,0.53438,0.782837,0.718204,0.86212,0.281542
0.032,0.55,0.529819,0.763135,0.742236,0.821664,0.29216
0.032,0.6,0.540868,0.7539,0.76756,0.780304,0.321862
0.032,0.65,0.560092,0.744904,0.799012,0.717556,0.368093
0.032,0.7,0.586588,0.741995,0.828626,0.657836,0.42655
0.032,0.75,0.613334,0.772042,0.845206,0.691632,0.45519
0.032,0.8,0.612759,0.7832,0.8369,0.724776,0.444387
0.032,0.85,0.60243,0.78234,0.823388,0.737904,0.42503
0.032,0.9,0.593907,0.780405,0.813714,0.744564,0.409716
0.032,0.95,0.588472,0.779772,0.807248,0.750724,0.398954
0.032,1.0,0.584605,0.779247,0.801306,0.755678,0.390621
0.034,0.3,0.515085,0.70661,0.496816,0.898358,0.299675
0.034,0.35,0.520669,0.708676,0.48818,0.903612,0.306884
0.034,0.4,0.538438,0.744252,0.523804,0.919508,0.306769
0.034,0.45,0.550674,0.792991,0.64254,0.909076,0.295063
0.034,0.5,0.534397,0.782871,0.718232,0.862132,0.281535
0.034,0.55,0.529815,0.763282,0.742324,0.82168,0.292123
0.034,0.6,0.540804,0.754011,0.767496,0.780272,0.321776
0.034,0.65,0.560007,0.745057,0.799052,0.717556,0.367962
0.034,0.7,0.586577,0.742205,0.82895,0.657836,0.426431
0.034,0.75,0.613349,0.772171,0.845442,0.691632,0.455091
0.034,0.8,0.612453,0.783157,0.836944,0.724776,0.444003
0.034,0.85,0.601733,0.782016,0.822688,0.737744,0.424287
0.034,0.9,0.592679,0.779848,0.812846,0.744328,0.408415
0.034,0.95,0.587124,0.779293,0.806176,0.750452,0.397466
0.034,1.0,0.582914,0.77854,0.800382,0.755022,0.388804
0.036,0.3,0.515085,0.70661,0.496816,0.898358,0.299675
0.036,0.35,0.520669,0.708676,0.48818,0.903612,0.306884
0.036,0.4,0.538426,0.744205,0.523748,0.919508,0.306769
0.036,0.45,0.55062,0.792769,0.642396,0.909076,0.295063
0.036,0.5,0.534326,0.782612,0.718052,0.862132,0.281527
0.036,0.55,0.52972,0.762942,0.742024,0.82166,0.292117
0.036,0.6,0.540637,0.753561,0.766984,0.780236,0.321759
0.036,0.65,0.559874,0.744804,0.798684,0.717556,0.367924
0.036,0.7,0.586463,0.742039,0.82855,0.657836,0.426394
0.036,0.75,0.613201,0.771976,0.844978,0.691632,0.455016
0.036,0.8,0.612142,0.782506,0.835596,0.724776,0.44389
0.036,0.85,0.601245,0.780897,0.8208,0.737728,0.424185
0.036,0.9,0.592051,0.77854,0.810554,0.744256,0.408241
0.036,0.95,0.586344,0.777746,0.803516,0.750292,0.397206
0.036,1.0,0.581919,0.776495,0.796826,0.754838,0.388532
0.038,0.3,0.515085,0.70661,0.496816,0.898358,0.299675
0.038,0.35,0.520669,0.708676,0.48818,0.903612,0.306884
0.038,0.4,0.538417,0.744166,0.5237,0.919508,0.306769
0.038,0.45,0.550616,0.792756,0.642396,0.909076,0.295063
0.038,0.5,0.534307,0.782558,0.718032,0.862136,0.281517
0.038,0.55,0.529682,0.762819,0.74192,0.821668,0.292102
0.038,0.6,0.540618,0.753472,0.766876,0.780236,0.32174
0.038,0.65,0.559732,0.744573,0.798304,0.717556,0.367881
